dep;vaccin;jour;n_tot_dose1;n_tot_dose2;n_tot_dose3;n_tot_dose4;n_tot_complet;n_tot_rappel;n_tot_2_rappel;n_tot_rappel_biv;n_tot_3_rappel
01;1;2023-07-10;408257;398163;241925;47780;410036;270398;51384;0;850
01;2;2023-07-10;36619;44719;87313;3273;37028;98473;4045;0;35
01;3;2023-07-10;36808;28056;44;0;30502;9;0;0;0
01;4;2023-07-10;8332;55;5;0;8342;25;2;0;0
01;5;2023-07-10;2743;1798;34;10;2224;55;9;0;0
01;6;2023-07-10;143;106;18;65;128;40;61;0;14
01;8;2023-07-10;142;361;3967;29472;151;2420;30536;50160;16429
01;9;2023-07-10;5;16;177;1398;6;99;1441;2136;587
01;10;2023-07-10;0;1;9;45;0;5;48;0;28
01;12;2023-07-10;0;5;11;47;0;14;41;156;81
02;1;2023-07-10;324587;320862;220157;47776;325166;235448;50242;0;894
02;2;2023-07-10;44532;52056;81849;2747;44999;91507;3945;0;82
02;3;2023-07-10;38447;31843;36;0;33421;9;0;0;0
02;4;2023-07-10;9439;33;8;0;9439;13;6;0;0
02;5;2023-07-10;2631;1898;23;6;2121;30;6;0;0
02;6;2023-07-10;63;46;10;15;58;14;17;0;16
02;8;2023-07-10;173;279;2571;23891;147;2045;24009;43042;16203
02;9;2023-07-10;5;8;114;1003;5;60;1019;1410;324
02;10;2023-07-10;0;1;6;40;0;4;41;0;44
02;12;2023-07-10;1;1;13;62;2;8;50;202;124
03;1;2023-07-10;215101;213623;143349;37361;216197;150978;37832;0;502
03;2;2023-07-10;30813;35303;65062;1715;31275;70253;2103;0;32
03;3;2023-07-10;21559;17161;16;0;17711;4;0;0;1
03;4;2023-07-10;5029;13;0;0;5034;2;0;0;0
03;5;2023-07-10;1426;1000;21;2;1150;27;2;0;0
03;6;2023-07-10;44;43;6;10;41;9;12;0;4
03;8;2023-07-10;67;139;1585;19966;62;1349;20066;33494;11597
03;9;2023-07-10;1;1;52;749;0;39;753;992;196
03;10;2023-07-10;0;0;5;28;0;3;32;0;17
03;12;2023-07-10;2;1;7;47;1;5;40;176;98
04;1;2023-07-10;96104;94600;64946;14139;95992;70215;14784;0;271
04;2;2023-07-10;10845;12128;18083;498;10952;20342;748;0;12
04;3;2023-07-10;10206;8282;10;0;8620;7;0;0;0
04;4;2023-07-10;2968;9;1;0;2967;4;1;0;0
04;5;2023-07-10;258;163;8;1;204;11;1;0;0
04;6;2023-07-10;85;72;17;10;85;19;18;0;1
04;8;2023-07-10;126;193;849;7646;123;593;7895;13397;4689
04;9;2023-07-10;2;8;18;298;6;14;299;396;80
04;10;2023-07-10;1;2;1;10;0;2;11;0;2
04;12;2023-07-10;1;1;5;2;0;5;5;16;4
05;1;2023-07-10;89351;86023;49520;12315;89250;54378;13027;0;210
05;2;2023-07-10;9067;11283;25063;408;9213;28238;531;0;3
05;3;2023-07-10;9823;7922;14;0;8424;3;0;0;0
05;4;2023-07-10;1952;7;4;0;1956;5;1;0;0
05;5;2023-07-10;307;203;4;0;254;5;0;0;0
05;6;2023-07-10;38;30;5;5;34;10;5;0;2
05;8;2023-07-10;85;138;851;6923;72;532;7193;11984;4069
05;9;2023-07-10;2;8;26;194;3;20;207;275;48
05;10;2023-07-10;15;2;4;7;1;4;8;0;1
05;12;2023-07-10;2;4;2;9;3;4;11;39;16
06;1;2023-07-10;652903;638374;425907;96359;655538;464979;101513;0;2049
06;2;2023-07-10;124588;134108;164011;6496;125155;184976;8159;0;121
06;3;2023-07-10;64719;47808;72;0;50008;64;1;0;0
06;4;2023-07-10;20542;290;68;1;20601;204;32;0;0
06;5;2023-07-10;1932;1342;90;30;1582;120;34;0;1
06;6;2023-07-10;461;402;126;121;439;149;150;0;37
06;8;2023-07-10;744;1336;5661;46598;772;4114;48303;86742;32762
06;9;2023-07-10;35;75;311;2840;44;216;2883;4444;1322
06;10;2023-07-10;6;10;25;67;8;14;78;0;41
06;12;2023-07-10;9;12;17;57;9;15;64;246;125
07;1;2023-07-10;190033;188570;133611;26937;190736;146095;28358;0;438
07;2;2023-07-10;35323;37861;41735;3569;35187;46713;4036;0;46
07;3;2023-07-10;20971;16924;29;0;17799;6;0;0;0
07;4;2023-07-10;5821;14;5;0;5822;7;2;0;0
07;5;2023-07-10;813;560;7;1;666;12;1;0;0
07;6;2023-07-10;108;83;19;83;104;18;88;0;41
07;8;2023-07-10;88;205;1783;16440;102;1145;16911;27779;9391
07;9;2023-07-10;2;11;150;1404;2;77;1430;2061;549
07;10;2023-07-10;5;2;16;61;1;10;60;0;66
07;12;2023-07-10;2;3;9;36;0;12;35;159;75
08;1;2023-07-10;167885;166177;110190;27796;168739;117299;28935;0;504
08;2;2023-07-10;19486;23783;45660;505;20191;50620;849;0;12
08;3;2023-07-10;20782;16464;8;0;17249;3;0;0;0
08;4;2023-07-10;4136;13;1;0;4135;3;0;0;0
08;5;2023-07-10;1087;825;10;0;912;10;2;0;0
08;6;2023-07-10;25;22;16;5;22;7;11;0;3
08;8;2023-07-10;59;108;1258;13546;54;880;13734;24307;9194
08;9;2023-07-10;1;3;36;337;1;18;343;443;80
08;10;2023-07-10;0;0;1;5;0;0;6;0;0
08;12;2023-07-10;1;1;13;16;1;8;24;106;51
09;1;2023-07-10;89017;88621;65849;14000;89169;68794;14058;0;172
09;2;2023-07-10;16072;16852;18398;889;16043;19752;1060;0;13
09;3;2023-07-10;7362;5811;1;0;5941;1;0;0;0
09;4;2023-07-10;2478;5;0;0;2482;1;0;0;0
09;5;2023-07-10;329;198;4;1;255;6;0;0;0
09;6;2023-07-10;43;34;7;12;39;13;13;0;1
09;8;2023-07-10;76;126;621;7587;82;634;7575;12490;4124
09;9;2023-07-10;3;4;40;320;2;36;328;615;248
09;10;2023-07-10;0;0;0;14;0;0;14;0;3
09;12;2023-07-10;2;1;5;10;2;5;12;33;15
10;1;2023-07-10;184456;181284;113242;27801;184937;120029;28401;0;377
10;2;2023-07-10;29892;34607;59937;1687;30615;65754;2196;0;33
10;3;2023-07-10;17659;13808;6;0;14442;2;0;0;0
10;4;2023-07-10;4564;16;7;0;4568;6;5;0;0
10;5;2023-07-10;1715;1180;4;0;1370;9;0;0;0
10;6;2023-07-10;45;40;5;22;44;5;23;0;16
10;8;2023-07-10;152;189;1410;15294;116;1272;15525;26232;9059
10;9;2023-07-10;3;8;59;660;4;38;664;856;153
10;10;2023-07-10;0;2;3;43;1;2;29;0;18
10;12;2023-07-10;3;0;7;43;0;7;48;177;109
11;1;2023-07-10;226555;224880;154985;37835;226769;162821;38675;0;659
11;2;2023-07-10;30419;34309;56813;2066;30576;61770;2550;0;42
11;3;2023-07-10;25990;21652;20;0;22243;8;0;0;0
11;4;2023-07-10;8060;44;5;1;8073;19;0;0;1
11;5;2023-07-10;796;553;11;21;655;14;25;0;0
11;6;2023-07-10;128;106;9;11;120;19;11;0;2
11;8;2023-07-10;172;278;1655;19789;171;1431;20014;34961;12776
11;9;2023-07-10;1;7;58;688;1;44;695;1065;324
11;10;2023-07-10;0;2;2;7;0;4;7;0;9
11;12;2023-07-10;2;2;6;35;2;9;33;135;60
12;1;2023-07-10;175109;173172;124777;24996;175211;131258;25362;0;372
12;2;2023-07-10;26045;27957;36925;949;25952;39944;1086;0;10
12;3;2023-07-10;15458;12849;15;0;13188;8;0;0;0
12;4;2023-07-10;3825;23;1;0;3841;3;0;0;0
12;5;2023-07-10;546;328;7;10;394;12;10;0;0
12;6;2023-07-10;100;71;6;15;89;17;16;0;2
12;8;2023-07-10;103;192;1195;15721;109;1059;15912;24600;7208
12;9;2023-07-10;5;8;43;617;7;38;615;897;243
12;10;2023-07-10;0;0;2;9;0;0;11;0;1
12;12;2023-07-10;0;0;5;19;0;5;21;105;52
13;1;2023-07-10;1182758;1149936;822170;140056;1178341;907937;148667;0;2936
13;2;2023-07-10;196468;197667;162162;6044;195315;185886;8696;0;187
13;3;2023-07-10;90188;69253;117;0;73399;98;0;0;0
13;4;2023-07-10;32040;374;100;8;32131;236;58;0;2
13;5;2023-07-10;3965;2670;139;21;3195;158;37;0;1
13;6;2023-07-10;1092;894;299;225;1009;156;213;0;76
13;8;2023-07-10;1861;3209;10982;79167;1944;8514;81945;138708;45934
13;9;2023-07-10;54;98;437;3172;52;296;3268;4979;1355
13;10;2023-07-10;7;8;16;74;6;10;73;0;39
13;12;2023-07-10;20;33;43;115;22;42;129;452;189
14;1;2023-07-10;439077;441346;296346;74346;443998;311110;76148;0;1241
14;2;2023-07-10;68454;78213;145564;3298;70231;155565;4526;0;51
14;3;2023-07-10;59997;46805;24;0;48424;5;0;0;0
14;4;2023-07-10;11761;43;3;1;11771;13;1;0;0
14;5;2023-07-10;3466;2491;58;10;2888;70;9;0;1
14;6;2023-07-10;110;78;27;37;103;17;41;0;14
14;8;2023-07-10;153;279;3417;43338;170;2535;43931;75507;27659
14;9;2023-07-10;3;10;142;1925;7;77;1956;2875;832
14;10;2023-07-10;1;4;3;20;1;5;20;0;12
14;12;2023-07-10;1;3;13;75;2;12;75;364;178
15;1;2023-07-10;94337;95343;71221;14956;95131;74021;15122;0;218
15;2;2023-07-10;10839;12219;21479;724;10882;23169;875;0;8
15;3;2023-07-10;11656;9662;10;0;9904;4;0;0;0
15;4;2023-07-10;2711;1;0;3;2705;1;3;0;2
15;5;2023-07-10;435;296;8;1;324;10;1;0;0
15;6;2023-07-10;20;17;3;17;20;3;18;0;0
15;8;2023-07-10;27;58;626;8879;31;605;8776;13987;4371
15;9;2023-07-10;3;0;17;311;1;24;293;402;85
15;10;2023-07-10;0;0;0;1;0;0;2;0;0
15;12;2023-07-10;1;0;3;18;0;1;27;95;61
16;1;2023-07-10;221746;222278;146807;44435;222680;152414;45257;0;666
16;2;2023-07-10;32825;37084;73939;1776;32777;78301;2740;0;38
16;3;2023-07-10;25145;21231;21;0;21617;3;0;0;0
16;4;2023-07-10;7084;17;3;0;7083;5;2;0;0
16;5;2023-07-10;1456;988;16;8;1186;20;8;0;0
16;6;2023-07-10;77;65;9;91;71;12;95;0;6
16;8;2023-07-10;148;185;1506;20742;129;1236;20958;39666;16377
16;9;2023-07-10;6;7;54;1134;4;48;1131;1519;326
16;10;2023-07-10;0;0;0;8;0;1;7;0;0
16;12;2023-07-10;1;4;13;36;1;11;39;207;109
17;1;2023-07-10;420997;426080;288328;90681;423986;297629;91683;0;1593
17;2;2023-07-10;66590;74964;140493;4255;66811;148881;5939;0;64
17;3;2023-07-10;56578;47414;59;0;48213;25;0;0;0
17;4;2023-07-10;17178;34;3;0;17177;12;1;0;0
17;5;2023-07-10;1686;1146;29;35;1328;28;35;0;1
17;6;2023-07-10;170;140;19;48;159;22;36;0;4
17;8;2023-07-10;250;430;3221;44129;257;2924;44272;84363;35189
17;9;2023-07-10;11;19;190;2608;12;146;2586;3928;1152
17;10;2023-07-10;0;1;2;18;0;3;18;0;9
17;12;2023-07-10;0;5;21;78;2;20;82;461;251
18;1;2023-07-10;188491;187199;128380;35305;188737;134918;36294;0;1206
18;2;2023-07-10;30228;34262;55414;2555;30365;60638;3164;0;48
18;3;2023-07-10;17426;14383;18;0;14925;3;0;0;0
18;4;2023-07-10;5368;13;5;0;5370;3;1;0;0
18;5;2023-07-10;1132;799;19;1;887;21;0;0;1
18;6;2023-07-10;64;51;2;5;61;5;5;0;3
18;8;2023-07-10;98;157;1433;16405;84;1039;16711;30184;11860
18;9;2023-07-10;0;2;60;785;0;47;786;1103;269
18;10;2023-07-10;0;1;3;15;1;1;16;0;12
18;12;2023-07-10;0;3;9;85;0;8;88;251;116
19;1;2023-07-10;150094;150498;103989;26851;151082;107691;26606;0;319
19;2;2023-07-10;20959;23621;44992;938;20956;48003;1327;0;10
19;3;2023-07-10;19820;16659;17;0;17080;2;0;0;0
19;4;2023-07-10;4432;7;5;1;4431;4;2;0;1
19;5;2023-07-10;687;437;10;0;510;13;0;0;0
19;6;2023-07-10;43;37;7;15;42;12;16;0;2
19;8;2023-07-10;74;118;1097;14502;68;1189;14591;25355;9057
19;9;2023-07-10;3;5;14;354;3;32;331;461;98
19;10;2023-07-10;0;1;2;12;0;1;13;0;22
19;12;2023-07-10;1;3;5;12;1;9;17;53;22
21;1;2023-07-10;311407;312204;223005;50681;314979;238283;51924;0;898
21;2;2023-07-10;57639;62763;82890;4612;57865;89289;5284;0;78
21;3;2023-07-10;41617;32084;50;0;33988;16;1;0;0
21;4;2023-07-10;8886;53;13;0;8888;29;6;0;1
21;5;2023-07-10;2308;1541;28;2;1870;37;2;0;0
21;6;2023-07-10;160;116;19;30;146;27;31;0;38
21;8;2023-07-10;196;349;3128;30157;197;2330;30636;52729;18746
21;9;2023-07-10;19;26;218;2690;23;174;2691;4083;1198
21;10;2023-07-10;4;9;6;40;3;10;40;0;30
21;12;2023-07-10;4;5;23;133;3;23;126;538;300
22;1;2023-07-10;396124;394825;242077;73889;396127;248917;74445;0;1104
22;2;2023-07-10;61141;71682;157005;3180;64163;164795;3840;0;36
22;3;2023-07-10;44587;36258;27;0;36969;6;0;0;0
22;4;2023-07-10;11153;22;2;0;11152;5;2;0;0
22;5;2023-07-10;3395;2416;37;4;2641;35;8;0;0
22;6;2023-07-10;143;115;20;13;126;25;16;0;8
22;8;2023-07-10;156;226;2548;41177;136;2263;41389;71587;26614
22;9;2023-07-10;6;2;91;1563;1;62;1550;2292;675
22;10;2023-07-10;0;0;5;23;0;4;22;0;30
22;12;2023-07-10;2;8;16;84;3;20;91;505;296
23;1;2023-07-10;73232;73579;51921;14050;73302;53678;14357;0;229
23;2;2023-07-10;8445;9960;19994;426;8481;21525;662;0;8
23;3;2023-07-10;7930;6803;7;0;6936;3;0;0;0
23;4;2023-07-10;2497;6;1;0;2502;1;0;0;0
23;5;2023-07-10;267;206;11;0;231;9;1;0;0
23;6;2023-07-10;27;27;7;5;26;7;7;0;1
23;8;2023-07-10;38;52;498;6332;32;388;6423;10922;3957
23;9;2023-07-10;3;2;12;194;3;9;194;243;40
23;10;2023-07-10;1;1;1;0;1;1;0;0;2
23;12;2023-07-10;0;0;5;7;0;7;5;59;31
24;1;2023-07-10;248539;249153;168407;48629;249026;175671;49621;0;867
24;2;2023-07-10;44859;50234;84875;4024;45008;91193;4705;0;62
24;3;2023-07-10;31267;26445;38;0;27023;9;0;0;0
24;4;2023-07-10;9820;22;3;0;9828;6;0;0;0
24;5;2023-07-10;1310;892;22;2;1010;26;2;0;0
24;6;2023-07-10;115;95;5;35;103;8;32;0;14
24;8;2023-07-10;170;277;1951;24151;180;1641;24336;44210;17405
24;9;2023-07-10;9;13;97;1252;10;70;1255;1805;473
24;10;2023-07-10;2;0;4;17;0;4;13;0;5
24;12;2023-07-10;2;2;9;48;1;8;47;200;106
25;1;2023-07-10;301709;295004;207016;40004;302822;227248;42051;0;537
25;2;2023-07-10;63757;66708;66429;2661;64754;74817;3188;0;43
25;3;2023-07-10;31976;24404;16;0;26246;10;0;0;0
25;4;2023-07-10;5573;18;10;0;5579;12;0;0;0
25;5;2023-07-10;1963;1244;20;4;1561;31;3;0;0
25;6;2023-07-10;136;96;18;22;130;27;28;0;2
25;8;2023-07-10;172;323;2673;22365;162;1849;22804;37472;12240
25;9;2023-07-10;12;20;222;2373;14;143;2486;3563;927
25;10;2023-07-10;1;1;1;13;1;1;13;0;2
25;12;2023-07-10;2;5;18;64;3;15;74;262;134
26;1;2023-07-10;315986;308597;184587;42928;317814;201375;44376;0;821
26;2;2023-07-10;39866;46575;86945;3703;40024;96387;4151;0;40
26;3;2023-07-10;34542;26849;36;0;28458;15;2;0;0
26;4;2023-07-10;7015;44;4;2;7027;15;2;0;0
26;5;2023-07-10;1698;1110;21;7;1403;35;7;0;0
26;6;2023-07-10;133;99;11;10;120;22;7;0;2
26;8;2023-07-10;159;311;2963;24546;153;1944;25104;42717;14986
26;9;2023-07-10;6;18;150;1626;9;111;1605;2208;484
26;10;2023-07-10;0;2;5;35;2;5;38;0;32
26;12;2023-07-10;3;8;21;19;6;17;30;178;93
27;1;2023-07-10;375345;369714;214954;52646;376051;229354;55324;0;1018
27;2;2023-07-10;55953;65610;132650;4860;56269;144278;6456;0;87
27;3;2023-07-10;36291;29793;18;0;31034;10;0;0;0
27;4;2023-07-10;10649;35;4;0;10658;13;1;0;0
27;5;2023-07-10;3444;2462;31;2;2808;48;2;0;0
27;6;2023-07-10;109;78;30;151;99;28;159;0;37
27;8;2023-07-10;177;289;2854;29386;160;1861;29833;52587;19776
27;9;2023-07-10;7;15;198;1871;7;115;1902;2735;703
27;10;2023-07-10;2;0;6;56;1;4;56;0;21
27;12;2023-07-10;2;3;9;53;2;10;56;232;134
28;1;2023-07-10;266960;264649;180439;42884;268268;190809;44578;0;848
28;2;2023-07-10;41543;46590;73772;3847;41897;79643;4862;0;74
28;3;2023-07-10;27892;22292;18;0;23079;5;0;0;0
28;4;2023-07-10;6102;29;9;0;6118;14;0;0;0
28;5;2023-07-10;2197;1540;26;0;1727;27;1;0;0
28;6;2023-07-10;80;57;14;6;77;13;11;0;1
28;8;2023-07-10;120;210;2045;21904;126;1356;22235;40718;16295
28;9;2023-07-10;10;10;91;1442;4;54;1435;2089;596
28;10;2023-07-10;1;0;1;13;0;1;13;0;8
28;12;2023-07-10;4;3;19;67;4;9;72;266;139
29;1;2023-07-10;578119;583682;399696;126096;581047;406837;126468;0;2140
29;2;2023-07-10;90665;107295;219103;4617;97309;227422;6793;0;74
29;3;2023-07-10;89378;72941;65;0;73847;14;0;0;0
29;4;2023-07-10;18348;58;7;3;18343;19;3;0;0
29;5;2023-07-10;6442;4813;41;17;5148;55;17;0;0
29;6;2023-07-10;160;129;11;19;152;20;22;0;6
29;8;2023-07-10;368;399;3931;67965;305;4146;68242;125932;50420
29;9;2023-07-10;11;13;113;2395;4;125;2434;3352;781
29;10;2023-07-10;1;2;4;24;1;2;25;0;16
29;12;2023-07-10;4;12;37;195;12;29;226;1035;524
2A;1;2023-07-10;97733;96620;70184;8809;97543;72441;8786;0;256
2A;2;2023-07-10;10706;11136;12102;391;10677;12925;469;0;7
2A;3;2023-07-10;4334;2810;1;0;2910;0;0;0;0
2A;4;2023-07-10;1575;12;4;0;1579;9;1;0;0
2A;5;2023-07-10;141;99;3;7;108;5;7;0;0
2A;6;2023-07-10;54;46;3;3;52;7;3;0;1
2A;8;2023-07-10;65;94;387;5642;71;422;5713;8960;2666
2A;9;2023-07-10;1;5;17;122;3;15;111;160;33
2A;10;2023-07-10;1;0;1;2;0;1;1;0;3
2A;12;2023-07-10;0;0;1;1;0;1;1;6;2
2B;1;2023-07-10;104337;102716;75417;10672;104007;79285;10865;0;273
2B;2;2023-07-10;10509;10919;11888;202;10390;12978;319;0;3
2B;3;2023-07-10;5800;4360;4;0;4444;4;0;0;0
2B;4;2023-07-10;2331;23;4;0;2340;10;4;0;0
2B;5;2023-07-10;132;87;2;2;102;2;2;0;0
2B;6;2023-07-10;38;30;3;3;38;2;4;0;2
2B;8;2023-07-10;105;147;599;6467;97;546;6591;10570;3256
2B;9;2023-07-10;2;5;13;130;2;13;134;185;38
2B;10;2023-07-10;1;2;2;2;1;2;3;0;2
2B;12;2023-07-10;1;1;1;2;1;1;2;8;5
30;1;2023-07-10;433797;424047;290304;70137;433431;314805;73534;0;1186
30;2;2023-07-10;85463;93028;114774;3782;85952;128749;4902;0;77
30;3;2023-07-10;51158;41983;85;0;43905;55;0;0;0
30;4;2023-07-10;13945;90;17;1;13964;40;6;0;0
30;5;2023-07-10;1590;1055;36;3;1305;44;3;0;0
30;6;2023-07-10;269;215;28;25;260;33;31;0;14
30;8;2023-07-10;429;774;4377;38950;432;3136;40060;70428;25873
30;9;2023-07-10;8;20;175;1825;8;91;1841;2658;716
30;10;2023-07-10;4;5;10;39;5;9;40;0;8
30;11;2023-07-10;0;1;0;0;1;0;0;0;0
30;12;2023-07-10;3;9;24;61;3;20;62;261;137
31;1;2023-07-10;842999;830258;519695;110124;847883;557454;113693;0;1787
31;2;2023-07-10;133960;146701;243808;4017;134619;264260;6108;0;72
31;3;2023-07-10;88160;69706;90;0;71939;24;0;0;0
31;4;2023-07-10;20850;131;13;1;20873;73;4;0;4
31;5;2023-07-10;4295;2791;57;5;3495;106;7;0;0
31;6;2023-07-10;452;379;61;63;424;81;83;0;21
31;8;2023-07-10;532;1113;7002;67012;547;5766;68216;116372;40544
31;9;2023-07-10;15;35;314;3161;16;239;3165;4457;1028
31;10;2023-07-10;3;4;28;95;2;18;107;0;70
31;12;2023-07-10;5;10;34;125;4;28;148;449;207
32;1;2023-07-10;127787;127189;77315;20534;127820;80150;20632;0;342
32;2;2023-07-10;10717;13319;41122;1452;10882;43503;1726;0;24
32;3;2023-07-10;13340;11278;14;0;11514;1;0;0;0
32;4;2023-07-10;3803;18;1;0;3809;3;1;0;0
32;5;2023-07-10;637;455;4;2;508;9;3;0;0
32;6;2023-07-10;52;45;6;1;50;5;2;0;1
32;8;2023-07-10;65;113;750;11744;73;716;11711;19442;6737
32;9;2023-07-10;3;9;62;526;4;53;548;866;255
32;10;2023-07-10;1;1;2;4;1;0;6;0;0
32;12;2023-07-10;3;2;2;17;2;2;17;56;24
33;1;2023-07-10;969213;972559;671376;164605;979477;705139;168161;0;2981
33;2;2023-07-10;203109;220417;310678;11214;204399;333316;14137;0;192
33;3;2023-07-10;132252;105265;203;0;107923;76;1;0;0
33;4;2023-07-10;33438;191;23;4;33484;59;8;0;0
33;5;2023-07-10;8070;5102;92;43;6073;151;43;0;1
33;6;2023-07-10;450;336;34;44;410;59;57;0;10
33;8;2023-07-10;654;1192;8559;92343;680;7481;93628;171572;66584
33;9;2023-07-10;48;86;478;5824;56;426;5811;8516;2252
33;10;2023-07-10;4;7;12;81;6;14;86;0;96
33;12;2023-07-10;9;13;53;226;8;45;250;826;412
34;1;2023-07-10;699352;689656;494540;109072;700118;528738;112623;0;1634
34;2;2023-07-10;119191;130309;158283;4831;123985;173695;6393;0;118
34;3;2023-07-10;89496;70487;151;1;73238;96;0;0;0
34;4;2023-07-10;21428;174;48;2;21456;116;24;0;0
34;5;2023-07-10;2624;1760;70;10;2186;80;14;0;0
34;6;2023-07-10;471;355;36;133;430;81;114;0;57
34;8;2023-07-10;510;1084;6416;63039;557;5513;64315;113972;42199
34;9;2023-07-10;17;43;266;2372;28;217;2386;3555;935
34;10;2023-07-10;5;4;22;134;5;11;145;0;58
34;12;2023-07-10;3;13;27;68;7;30;77;343;170
35;1;2023-07-10;686538;683595;439828;97785;689476;464126;100807;0;1604
35;2;2023-07-10;99204;115544;215114;3990;104752;229008;5622;0;77
35;3;2023-07-10;83630;65836;98;0;67909;14;0;0;0
35;4;2023-07-10;17560;46;4;0;17575;14;0;0;0
35;5;2023-07-10;5644;3908;35;12;4615;68;13;0;0
35;6;2023-07-10;230;175;9;19;206;29;14;0;12
35;8;2023-07-10;309;534;5734;67270;301;4685;68191;110280;35464
35;9;2023-07-10;7;13;177;2197;6;152;2200;2900;540
35;10;2023-07-10;0;0;3;20;0;4;19;0;12
35;12;2023-07-10;0;2;22;123;1;13;134;434;198
36;1;2023-07-10;139212;139656;96316;25888;140040;100781;26659;0;411
36;2;2023-07-10;16430;19788;41159;1069;16548;44949;1442;0;13
36;3;2023-07-10;16878;14077;16;0;14456;3;1;0;0
36;4;2023-07-10;4768;9;0;0;4772;4;0;0;0
36;5;2023-07-10;1053;746;9;3;864;10;3;0;0
36;6;2023-07-10;30;21;6;13;23;11;14;0;3
36;8;2023-07-10;54;86;1034;12663;51;790;12730;21380;7601
36;9;2023-07-10;5;3;28;414;3;13;411;537;113
36;10;2023-07-10;0;0;0;1;0;0;1;0;0
36;12;2023-07-10;1;0;2;13;0;2;11;47;27
37;1;2023-07-10;370281;370711;265033;73261;373213;280021;75825;0;1546
37;2;2023-07-10;58828;68707;109811;4343;61069;119144;5749;0;100
37;3;2023-07-10;57112;46633;63;0;48110;11;0;0;0
37;4;2023-07-10;12800;27;4;0;12804;13;0;0;0
37;5;2023-07-10;2972;2001;29;12;2384;43;15;0;0
37;6;2023-07-10;120;102;14;26;116;22;31;0;9
37;8;2023-07-10;229;397;3817;38907;211;2758;39240;73718;30222
37;9;2023-07-10;9;19;207;1749;14;149;1755;2820;892
37;10;2023-07-10;1;1;7;14;1;7;14;0;18
37;12;2023-07-10;5;9;29;112;3;26;115;488;273
38;1;2023-07-10;779649;763606;495892;108497;786964;546699;114427;0;1579
38;2;2023-07-10;122676;136743;188370;6118;124371;212079;7313;0;70
38;3;2023-07-10;90259;67385;88;0;72314;32;2;0;0
38;4;2023-07-10;14336;84;24;0;14345;35;7;0;0
38;5;2023-07-10;5022;3301;49;6;4111;114;8;0;0
38;6;2023-07-10;233;167;34;107;222;47;109;0;46
38;8;2023-07-10;300;852;8422;64772;341;5245;67306;115601;41066
38;9;2023-07-10;15;27;249;2241;11;136;2323;3277;805
38;10;2023-07-10;1;3;15;99;1;12;73;0;70
38;11;2023-07-10;2;0;0;0;0;0;0;0;0
38;12;2023-07-10;3;8;28;135;6;31;143;550;298
39;1;2023-07-10;149600;146378;99510;20772;149898;109829;22015;0;273
39;2;2023-07-10;28791;31471;39127;1881;28762;43807;2209;0;22
39;3;2023-07-10;17837;14808;15;0;15686;8;0;0;0
39;4;2023-07-10;3751;12;2;0;3756;6;0;0;0
39;5;2023-07-10;812;534;3;2;626;8;2;0;0
39;6;2023-07-10;94;79;17;22;89;14;28;0;5
39;8;2023-07-10;86;156;1427;11916;85;822;12449;20138;6423
39;9;2023-07-10;6;9;145;1377;4;72;1414;2090;598
39;10;2023-07-10;0;0;8;28;0;2;32;0;11
39;12;2023-07-10;4;4;5;55;1;8;56;239;131
40;1;2023-07-10;274647;275133;193753;51881;275855;201533;52037;0;831
40;2;2023-07-10;39934;44620;75582;2053;41060;80044;2439;0;22
40;3;2023-07-10;34067;27860;31;0;28540;7;0;0;0
40;4;2023-07-10;7223;38;3;0;7234;21;2;0;0
40;5;2023-07-10;1217;786;13;2;912;20;1;0;2
40;6;2023-07-10;136;105;13;18;127;20;14;0;0
40;8;2023-07-10;178;279;2098;27732;181;2003;27939;50115;19015
40;9;2023-07-10;9;10;52;803;10;48;771;1052;232
40;10;2023-07-10;2;1;9;14;2;7;16;0;15
40;12;2023-07-10;2;2;8;33;1;8;42;200;104
41;1;2023-07-10;202913;202643;149117;39693;203314;156675;41199;0;658
41;2;2023-07-10;35164;39770;57315;2955;35422;62697;3688;0;60
41;3;2023-07-10;25583;21982;48;0;22561;18;0;0;0
41;4;2023-07-10;7525;11;3;0;7525;3;2;0;0
41;5;2023-07-10;1262;887;14;22;1029;19;22;0;0
41;6;2023-07-10;70;51;10;22;66;7;29;0;3
41;8;2023-07-10;111;182;1687;20111;112;1172;20231;37392;15280
41;9;2023-07-10;2;8;85;1021;3;56;1069;1529;396
41;10;2023-07-10;0;0;3;24;0;2;24;0;33
41;12;2023-07-10;1;2;12;23;1;12;24;172;116
42;1;2023-07-10;485057;469980;309095;63936;486225;349474;68320;0;1041
42;2;2023-07-10;49984;60000;83943;2064;51903;98219;2744;0;33
42;3;2023-07-10;47318;35637;32;0;38987;13;2;0;0
42;4;2023-07-10;9602;50;5;0;9608;18;3;0;0
42;5;2023-07-10;1779;1100;48;10;1419;75;12;0;1
42;6;2023-07-10;115;73;9;9;104;19;12;0;2
42;8;2023-07-10;171;570;5285;37185;199;2877;39235;64247;21013
42;9;2023-07-10;6;10;192;1297;6;65;1394;1815;345
42;10;2023-07-10;1;1;17;38;1;12;42;0;24
42;12;2023-07-10;1;4;13;43;1;10;51;179;91
43;1;2023-07-10;147339;145056;100769;16389;147890;112761;17113;0;226
43;2;2023-07-10;13989;15533;18650;299;14016;21800;481;0;2
43;3;2023-07-10;13364;10303;15;0;11165;4;0;0;0
